scenario,poisoned_nodes,phase,probe_index,elapsed_seconds,latency_ms,status_code,total_tokens,error
n0_20260504_queue_externality_n0124,0,pre,0,0.026,519.096,200,85,
n0_20260504_queue_externality_n0124,0,pre,1,5.0,492.88,200,85,
n0_20260504_queue_externality_n0124,0,pre,2,10.0,477.846,200,85,
n0_20260504_queue_externality_n0124,0,pre,3,15.0,482.257,200,85,
n0_20260504_queue_externality_n0124,0,pre,4,20.0,480.28,200,85,
n0_20260504_queue_externality_n0124,0,pre,5,25.0,482.923,200,85,
n0_20260504_queue_externality_n0124,0,attack,6,30.0,487.445,200,85,
n0_20260504_queue_externality_n0124,0,attack,7,35.0,487.48,200,85,
n0_20260504_queue_externality_n0124,0,attack,8,40.0,479.563,200,85,
n0_20260504_queue_externality_n0124,0,attack,9,45.0,479.515,200,85,
n0_20260504_queue_externality_n0124,0,attack,10,50.0,498.216,200,86,
n0_20260504_queue_externality_n0124,0,attack,11,55.0,475.904,200,86,
n0_20260504_queue_externality_n0124,0,attack,12,60.0,532.895,200,86,
n0_20260504_queue_externality_n0124,0,attack,13,65.0,482.316,200,86,
n0_20260504_queue_externality_n0124,0,attack,14,70.0,479.912,200,86,
n0_20260504_queue_externality_n0124,0,attack,15,75.0,482.406,200,86,
n0_20260504_queue_externality_n0124,0,attack,16,80.0,481.316,200,86,
n0_20260504_queue_externality_n0124,0,attack,17,85.0,483.416,200,86,
n0_20260504_queue_externality_n0124,0,attack,18,90.0,481.773,200,86,
n0_20260504_queue_externality_n0124,0,attack,19,95.0,479.688,200,86,
n0_20260504_queue_externality_n0124,0,attack,20,100.0,480.407,200,86,
n0_20260504_queue_externality_n0124,0,attack,21,105.0,479.187,200,86,
n0_20260504_queue_externality_n0124,0,attack,22,110.0,478.171,200,86,
n0_20260504_queue_externality_n0124,0,attack,23,115.0,491.629,200,86,
n0_20260504_queue_externality_n0124,0,attack,24,120.0,479.052,200,86,
n0_20260504_queue_externality_n0124,0,attack,25,125.0,487.71,200,86,
n0_20260504_queue_externality_n0124,0,attack,26,130.0,477.783,200,86,
n0_20260504_queue_externality_n0124,0,attack,27,135.0,476.892,200,86,
n0_20260504_queue_externality_n0124,0,attack,28,140.0,479.288,200,86,
n0_20260504_queue_externality_n0124,0,attack,29,145.0,480.642,200,86,
n0_20260504_queue_externality_n0124,0,attack,30,150.0,475.661,200,86,
n0_20260504_queue_externality_n0124,0,attack,31,155.0,474.236,200,86,
n0_20260504_queue_externality_n0124,0,attack,32,160.0,477.894,200,86,
n0_20260504_queue_externality_n0124,0,attack,33,165.0,475.598,200,86,
n0_20260504_queue_externality_n0124,0,attack,34,170.0,483.378,200,86,
n0_20260504_queue_externality_n0124,0,attack,35,175.0,479.459,200,86,
n0_20260504_queue_externality_n0124,0,attack,36,180.0,477.576,200,86,
n0_20260504_queue_externality_n0124,0,attack,37,185.0,482.328,200,86,
n0_20260504_queue_externality_n0124,0,attack,38,190.0,478.77,200,86,
n0_20260504_queue_externality_n0124,0,attack,39,195.0,479.599,200,86,
n0_20260504_queue_externality_n0124,0,attack,40,200.0,474.292,200,86,
n0_20260504_queue_externality_n0124,0,attack,41,205.0,478.033,200,86,
n0_20260504_queue_externality_n0124,0,recovery,42,210.0,496.845,200,86,
n0_20260504_queue_externality_n0124,0,recovery,43,215.0,479.506,200,86,
n0_20260504_queue_externality_n0124,0,recovery,44,220.0,478.814,200,86,
n0_20260504_queue_externality_n0124,0,recovery,45,225.0,480.86,200,86,
n0_20260504_queue_externality_n0124,0,recovery,46,230.0,477.699,200,86,
n0_20260504_queue_externality_n0124,0,recovery,47,235.0,486.291,200,86,
n0_20260504_queue_externality_n0124,0,recovery,48,240.0,481.879,200,86,
n0_20260504_queue_externality_n0124,0,recovery,49,245.0,482.961,200,86,
n0_20260504_queue_externality_n0124,0,recovery,50,250.0,484.121,200,86,
n0_20260504_queue_externality_n0124,0,recovery,51,255.0,523.438,200,86,
n0_20260504_queue_externality_n0124,0,recovery,52,260.0,482.52,200,86,
n0_20260504_queue_externality_n0124,0,recovery,53,265.0,485.659,200,86,
n1_20260504_queue_externality_n0124,1,pre,0,0.021,479.3,200,85,
n1_20260504_queue_externality_n0124,1,pre,1,5.0,478.393,200,85,
n1_20260504_queue_externality_n0124,1,pre,2,10.0,480.918,200,85,
n1_20260504_queue_externality_n0124,1,pre,3,15.0,478.008,200,85,
n1_20260504_queue_externality_n0124,1,pre,4,20.0,486.505,200,85,
n1_20260504_queue_externality_n0124,1,pre,5,25.0,481.917,200,85,
n1_20260504_queue_externality_n0124,1,attack,6,30.0,502.058,200,85,
n1_20260504_queue_externality_n0124,1,attack,7,35.0,14656.111,200,85,
n1_20260504_queue_externality_n0124,1,attack,8,49.656,11532.766,200,85,
n1_20260504_queue_externality_n0124,1,attack,9,61.189,479.387,200,85,
n1_20260504_queue_externality_n0124,1,attack,10,61.669,482.634,200,86,
n1_20260504_queue_externality_n0124,1,attack,11,62.152,488.473,200,86,
n1_20260504_queue_externality_n0124,1,attack,12,62.64,486.195,200,86,
n1_20260504_queue_externality_n0124,1,attack,13,65.0,477.764,200,86,
n1_20260504_queue_externality_n0124,1,attack,14,70.0,489.731,200,86,
n1_20260504_queue_externality_n0124,1,attack,15,75.0,480.033,200,86,
n1_20260504_queue_externality_n0124,1,attack,16,80.0,478.204,200,86,
n1_20260504_queue_externality_n0124,1,attack,17,85.0,479.142,200,86,
n1_20260504_queue_externality_n0124,1,attack,18,90.0,480.974,200,86,
n1_20260504_queue_externality_n0124,1,attack,19,95.0,9818.501,200,86,
n1_20260504_queue_externality_n0124,1,attack,20,104.819,9330.041,200,86,
n1_20260504_queue_externality_n0124,1,attack,21,114.149,488.338,200,86,
n1_20260504_queue_externality_n0124,1,attack,22,114.637,486.541,200,86,
n1_20260504_queue_externality_n0124,1,attack,23,115.124,484.527,200,86,
n1_20260504_queue_externality_n0124,1,attack,24,120.0,482.848,200,86,
n1_20260504_queue_externality_n0124,1,attack,25,125.0,489.107,200,86,
n1_20260504_queue_externality_n0124,1,attack,26,130.0,479.27,200,86,
n1_20260504_queue_externality_n0124,1,attack,27,135.0,487.085,200,86,
n1_20260504_queue_externality_n0124,1,attack,28,140.0,485.01,200,86,
n1_20260504_queue_externality_n0124,1,attack,29,145.0,479.875,200,86,
n1_20260504_queue_externality_n0124,1,attack,30,150.0,478.505,200,86,
n1_20260504_queue_externality_n0124,1,attack,31,155.0,482.113,200,86,
n1_20260504_queue_externality_n0124,1,attack,32,160.0,475.197,200,86,
n1_20260504_queue_externality_n0124,1,attack,33,165.0,480.915,200,86,
n1_20260504_queue_externality_n0124,1,attack,34,170.0,485.773,200,86,
n1_20260504_queue_externality_n0124,1,attack,35,175.0,491.688,200,86,
n1_20260504_queue_externality_n0124,1,attack,36,180.0,482.526,200,86,
n1_20260504_queue_externality_n0124,1,attack,37,185.0,475.927,200,86,
