run_label,run_kind,dataset,agent,planned_cases,completed_cases,task_run_success_rate,baseline_task_run_success_rate,baseline_matched_cases,skill_injection_rate,skill_file_creation_rate,total_regular_tool_calls,avg_regular_tool_calls,total_native_skill_tool_calls,total_slash_skill_call_evidence,total_skill_call_events,avg_skill_call_events,skill_call_rate,loop_suspected_rate,timeout_rate,runtime_failure_rate
qwen36plus_baseline_no_injection_20260427_humaneval_openrouter_qwen_qwen3.6-plus,baseline,humaneval,claude_code,20,20,1.0,,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
qwen36plus_baseline_no_injection_20260427_humaneval_openrouter_qwen_qwen3.6-plus,baseline,humaneval,kilo_code,20,20,1.0,,0,0.0,0.0,98,4.9,0,0,0,0.0,0.0,1.0,0.0,0.0
qwen36plus_baseline_no_injection_20260427_humaneval_openrouter_qwen_qwen3.6-plus,baseline,humaneval,opencode,20,20,1.0,,0,0.0,0.45,159,7.95,40,0,40,2.0,0.20100502512562815,1.0,0.0,0.0
qwen36plus_baseline_no_injection_20260427_swebench_openrouter_qwen_qwen3.6-plus,baseline,swebench,claude_code,20,11,0.09090909090909091,,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
qwen36plus_baseline_no_injection_20260427_swebench_openrouter_qwen_qwen3.6-plus,baseline,swebench,kilo_code,20,20,0.3,,0,0.0,0.0,581,29.05,0,0,0,0.0,0.0,1.0,0.7,0.7
qwen36plus_baseline_no_injection_20260427_swebench_openrouter_qwen_qwen3.6-plus,baseline,swebench,opencode,20,20,0.35,,0,0.3,0.65,386,19.3,33,0,33,1.65,0.07875894988066826,1.0,0.65,0.65
qwen36plus_claude_code_injection_reparse_limit20_20260427_humaneval_openrouter_qwen_qwen3.6-plus,injection,humaneval,claude_code,20,20,1.0,1.0,20,1.0,1.0,272,13.6,9,52,61,3.05,0.1831831831831832,1.0,0.0,0.0
qwen36plus_claude_code_injection_reparse_limit20_swebench_20260428_swebench_openrouter_qwen_qwen3.6-plus,injection,swebench,claude_code,20,20,0.45,0.05,20,0.85,0.85,548,27.4,2,27,29,1.45,0.05025996533795494,0.9,0.0,0.0
qwen36plus_sequential_20260424_183454_humaneval_openrouter_qwen_qwen3.6-plus,injection,humaneval,kilo_code,50,50,0.98,1.0,20,1.0,1.0,845,16.9,4,46,50,1.0,0.055865921787709494,1.0,0.02,0.02
qwen36plus_sequential_20260424_183454_humaneval_openrouter_qwen_qwen3.6-plus,injection,humaneval,opencode,50,50,1.0,1.0,20,1.0,1.0,1198,23.96,97,126,223,4.46,0.1569317382125264,1.0,0.0,0.0
qwen36plus_sequential_20260424_183454_swebench_openrouter_qwen_qwen3.6-plus,injection,swebench,kilo_code,20,20,0.45,0.3,20,0.9,0.85,688,34.4,1,16,17,0.85,0.024113475177304965,1.0,0.55,0.55
qwen36plus_sequential_20260424_183454_swebench_openrouter_qwen_qwen3.6-plus,injection,swebench,opencode,20,20,0.55,0.35,20,1.0,1.0,603,30.15,41,21,62,3.1,0.09323308270676692,1.0,0.45,0.45
