elapsed_seconds,cumulative_chat_requests,total_tokens
0.0,1,5025
32.648,2,14513
43.45,3,14834
46.552,4,14796
58.561,5,15337
86.931,6,24864
107.148,7,25598
119.404,8,25394
140.088,9,25942
160.912,10,26354
178.733,11,26420
193.141,12,26587
203.643,13,26795
245.824,14,28478
250.643,15,27241
264.302,16,27817
287.133,17,28272
302.643,18,33726
315.17,19,34231
323.101,20,34427
334.009,21,34727
345.617,22,41963
375.223,23,46799
381.63,24,46227
392.966,25,46985
415.82,26,48036
452.303,27,49638
456.785,28,49727
461.555,29,50310
487.984,30,52146
493.483,31,51779
508.138,32,52584
512.814,33,52638
521.321,34,53105
