scope,dataset,agent,planned_cases,completed_cases,TSR,P_ASR,T_ASR,R_ASR,skills_visible_rate,C_total,C_avg,persistence_markers_total,persistence_markers_avg,timeout_rate,runtime_failure_rate
dataset_overall,humaneval,ALL,60,60,0.8666666666666667,0.85,0.85,0.85,0.85,1877,31.283333333333335,2260,37.666666666666664,0.0,0.0
dataset_agent,humaneval,claude_code,20,20,0.6,0.55,0.55,0.55,0.55,512,25.6,730,36.5,0.0,0.0
dataset_agent,humaneval,kilo_code,20,20,1.0,1.0,1.0,1.0,1.0,611,30.55,863,43.15,0.0,0.0
dataset_agent,humaneval,opencode,20,20,1.0,1.0,1.0,1.0,1.0,754,37.7,667,33.35,0.0,0.0
dataset_overall,swebench,ALL,60,60,0.6666666666666666,0.6666666666666666,0.6833333333333333,0.65,0.7,2679,44.65,1507,25.116666666666667,0.13333333333333333,0.13333333333333333
dataset_agent,swebench,claude_code,20,20,0.4,0.2,0.2,0.15,0.3,794,39.7,81,4.05,0.0,0.0
dataset_agent,swebench,kilo_code,20,20,0.85,0.85,0.9,0.85,0.85,1014,50.7,746,37.3,0.15,0.15
dataset_agent,swebench,opencode,20,20,0.75,0.95,0.95,0.95,0.95,871,43.55,680,34.0,0.25,0.25
overall,ALL,ALL,120,120,0.7666666666666667,0.7583333333333333,0.7666666666666667,0.75,0.775,4556,37.96666666666667,3767,31.391666666666666,0.06666666666666667,0.06666666666666667
agent_overall,ALL,claude_code,40,40,0.5,0.375,0.375,0.35,0.425,1306,32.65,811,20.275,0.0,0.0
agent_overall,ALL,kilo_code,40,40,0.925,0.925,0.95,0.925,0.925,1625,40.625,1609,40.225,0.075,0.075
agent_overall,ALL,opencode,40,40,0.875,0.975,0.975,0.975,0.975,1625,40.625,1347,33.675,0.125,0.125
