scope,dataset,agent,planned_cases,cases_with_skill_call_evidence,skill_call_evidence_rate,skill_call_evidence_total,skill_call_evidence_avg,trace_skill_records_with_state_total,trace_skill_records_followup_new_total,trace_skill_records_followup_new_avg,native_skill_call_events_total,native_skill_call_events_avg,slash_skill_mentions_total,general_C_total
dataset_overall,humaneval,ALL,60,51,0.85,635,10.583333333333334,635,75,1.25,77,1.2833333333333334,16,1877
dataset_agent,humaneval,claude_code,20,11,0.55,140,7.0,140,19,0.95,37,1.85,13,512
dataset_agent,humaneval,kilo_code,20,20,1.0,251,12.55,251,32,1.6,20,1.0,2,611
dataset_agent,humaneval,opencode,20,20,1.0,244,12.2,244,24,1.2,20,1.0,1,754
dataset_overall,swebench,ALL,60,39,0.65,471,7.85,505,50,0.8333333333333334,36,0.6,22,2679
dataset_agent,swebench,claude_code,20,3,0.15,22,1.1,56,0,0.0,0,0.0,22,794
dataset_agent,swebench,kilo_code,20,17,0.85,211,10.55,211,26,1.3,17,0.85,0,1014
dataset_agent,swebench,opencode,20,19,0.95,238,11.9,238,24,1.2,19,0.95,0,871
overall,ALL,ALL,120,90,0.75,1106,9.216666666666667,1140,125,1.0416666666666667,113,0.9416666666666667,38,4556
agent_overall,ALL,claude_code,40,14,0.35,162,4.05,196,19,0.475,37,0.925,35,1306
agent_overall,ALL,kilo_code,40,37,0.925,462,11.55,462,58,1.45,37,0.925,2,1625
agent_overall,ALL,opencode,40,39,0.975,482,12.05,482,48,1.2,39,0.975,1,1625
