run_label,run_kind,dataset,agent,planned_cases,completed_cases,task_run_success_rate,baseline_task_run_success_rate,baseline_matched_cases,skill_injection_rate,skill_file_creation_rate,total_regular_tool_calls,avg_regular_tool_calls,total_native_skill_tool_calls,total_slash_skill_call_evidence,total_skill_call_events,avg_skill_call_events,skill_call_rate,loop_suspected_rate,timeout_rate,runtime_failure_rate
qwen36plus_claude_baseline_raw_limit20_20260427_humaneval_openrouter_qwen_qwen3.6-plus,baseline,humaneval,claude_code,20,20,0.9,,0,0.0,0.0,32,1.6,0,0,0,0.0,0.0,0.25,0.0,0.0
qwen36plus_baseline_no_injection_20260427_humaneval_openrouter_qwen_qwen3.6-plus,baseline,humaneval,kilo_code,20,20,1.0,,0,0.0,0.0,98,4.9,0,0,0,0.0,0.0,1.0,0.0,0.0
qwen36plus_baseline_no_injection_20260427_humaneval_openrouter_qwen_qwen3.6-plus,baseline,humaneval,opencode,20,20,1.0,,0,0.0,0.45,159,7.95,40,0,40,2.0,0.20100502512562815,1.0,0.0,0.0
qwen36plus_claude_baseline_raw_limit20_20260427_swebench_openrouter_qwen_qwen3.6-plus,baseline,swebench,claude_code,20,20,0.3,,0,0.0,0.0,741,37.05,0,0,0,0.0,0.0,1.0,0.0,0.0
qwen36plus_baseline_no_injection_20260427_swebench_openrouter_qwen_qwen3.6-plus,baseline,swebench,kilo_code,20,20,0.3,,0,0.0,0.0,581,29.05,0,0,0,0.0,0.0,1.0,0.7,0.7
qwen36plus_baseline_no_injection_20260427_swebench_openrouter_qwen_qwen3.6-plus,baseline,swebench,opencode,20,20,0.35,,0,0.3,0.65,386,19.3,33,0,33,1.65,0.07875894988066826,1.0,0.65,0.65
qwen36plus_claude_code_injection_reparse_limit20_20260427_humaneval_openrouter_qwen_qwen3.6-plus,injection,humaneval,claude_code,20,20,1.0,0.9,20,1.0,1.0,272,13.6,9,52,61,3.05,0.1831831831831832,1.0,0.0,0.0
qwen36plus_sequential_20260424_183454_humaneval_openrouter_qwen_qwen3.6-plus,injection,humaneval,kilo_code,50,50,0.98,1.0,20,1.0,1.0,845,16.9,4,46,50,1.0,0.055865921787709494,1.0,0.02,0.02
qwen36plus_sequential_20260424_183454_humaneval_openrouter_qwen_qwen3.6-plus,injection,humaneval,opencode,50,50,1.0,1.0,20,1.0,1.0,1198,23.96,97,126,223,4.46,0.1569317382125264,1.0,0.0,0.0
combined:2_sources,injection,swebench,claude_code,20,20,0.5,0.3,20,0.9,0.95,587,29.35,2,27,29,1.45,0.04707792207792208,1.0,0.0,0.0
combined:2_sources,injection,swebench,kilo_code,50,50,0.52,0.3,20,0.9,0.86,1525,30.5,1,21,22,0.44,0.014221073044602456,1.0,0.48,0.48
combined:2_sources,injection,swebench,opencode,50,50,0.5,0.35,20,1.0,1.0,1780,35.6,98,25,123,2.46,0.06463478717813978,1.0,0.48,0.48
